no , model , rate
11 , Test Accuracy Rate of Test DATA(RF): , 0.9484337411728188
11 , Test Accuracy Rate of Test DATA(DT): , 0.9709166472662684
11 , Test Accuracy Rate of Test DATA(Hybrid): , 0.538080826370746
11 , Training/Validation Dataset Total Detection Rate(RF): , 0.9965973534971645
11 , Training/Validation Dataset Total Detection Rate(DT): , 0.9814744801512287
11 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9818525519848771
11 , Training/Validation Dataset SSH Precision(RF): , 0.7407407407407407
11 , Training/Validation Dataset SSH Precision(DT): , 0.30434782608695654
11 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3088235294117647
11 , Training/Validation Dataset SSH Recall(RF): , 0.9090909090909091
11 , Training/Validation Dataset SSH Recall(DT): , 0.9545454545454546
11 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9545454545454546
11 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.002668699961875715
11 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.018299656881433472
11 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.017918414029736943
11 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.045454545454545525
11 , Evaluation Test Total Detection Rate(RF): , 0.9951645117208031
11 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
11 , Evaluation Test Total Detection Rate(Hybrid): , 0.9887522337853464
11 , Evaluation Test SSH Precision(RF): , 0.3384615384615385
11 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
11 , Evaluation Test SSH Precision(Hybrid): , 0.1893939393939394
11 , Evaluation Test SSH Recall(RF): , 0.88
11 , Evaluation Test SSH Recall(DT): , 1.0
11 , Evaluation Test SSH Recall(Hybrid): , 1.0
11 , Evaluation Test False Positive Rate of total detection(RF): , 0.00453204047217538
11 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
11 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.011277403035413153
11 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
12 , Random Forest Model Accuracy Rate (n=100): , 0.9957679720121883
12 , Decision Tree Model Accuracy Rate (depth=4): , 0.9670654177481849
12 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.7895647594327202
12 , Test Accuracy Rate of Test DATA(RF): , 0.9640251946506635
12 , Test Accuracy Rate of Test DATA(DT): , 0.9715309932141718
12 , Test Accuracy Rate of Test DATA(Hybrid): , 0.5567914327840865
12 , Training/Validation Dataset Total Detection Rate(RF): , 0.9954836281520512
12 , Training/Validation Dataset Total Detection Rate(DT): , 0.9830636055701919
12 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9830636055701919
12 , Training/Validation Dataset SSH Precision(RF): , 0.6666666666666666
12 , Training/Validation Dataset SSH Precision(DT): , 0.3333333333333333
12 , Training/Validation Dataset SSH Precision(Hybrid): , 0.3333333333333333
12 , Training/Validation Dataset SSH Recall(RF): , 0.9565217391304348
12 , Training/Validation Dataset SSH Recall(DT): , 0.9565217391304348
12 , Training/Validation Dataset SSH Recall(Hybrid): , 0.9565217391304348
12 , Training/Validation Dataset False Positive Rate of total detection(RF): , 0.004176157934700076
12 , Training/Validation Dataset False Positive Rate of total detection(DT): , 0.016704631738800303
12 , Training/Validation Dataset False Positive Rate of total detection(Hybrid): , 0.016704631738800303
12 , Training/Validation Dataset True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.0
12 , Evaluation Test Total Detection Rate(RF): , 0.996425943445811
12 , Evaluation Test Total Detection Rate(DT): , 0.9890675917165983
12 , Evaluation Test Total Detection Rate(Hybrid): , 0.9890675917165983
12 , Evaluation Test SSH Precision(RF): , 0.41509433962264153
12 , Evaluation Test SSH Precision(DT): , 0.1937984496124031
12 , Evaluation Test SSH Precision(Hybrid): , 0.1937984496124031
12 , Evaluation Test SSH Recall(RF): , 0.88
12 , Evaluation Test SSH Recall(DT): , 1.0
12 , Evaluation Test SSH Recall(Hybrid): , 1.0
12 , Evaluation Test False Positive Rate of total detection(RF): , 0.0032672849915682967
12 , Evaluation Test False Positive Rate of total detection(DT): , 0.010961214165261383
12 , Evaluation Test False Positive Rate of total detection(Hybrid): , 0.010961214165261383
12 , Evaluation Test True Positive Gap of SSH_detection Rate(Hybrid-RF): , 0.12
13 , Random Forest Model Accuracy Rate (n=100): , 0.9961253432644923
13 , Decision Tree Model Accuracy Rate (depth=4): , 0.9662942482037392
13 , Hybrid Model Accuracy Rate (n=100 depth=4): , 0.9004438927133882
13 , Test Accuracy Rate of Test DATA(RF): , 0.9515615165075834
13 , Test Accuracy Rate of Test DATA(DT): , 0.9709188028660856
13 , Test Accuracy Rate of Test DATA(Hybrid): , 0.6017809565689749
13 , Training/Validation Dataset Total Detection Rate(RF): , 0.9962335216572504
13 , Training/Validation Dataset Total Detection Rate(DT): , 0.991713747645951
13 , Training/Validation Dataset Total Detection Rate(Hybrid): , 0.9898305084745763
13 , Training/Validation Dataset SSH Precision(RF): , 0.6666666666666666
13 , Training/Validation Dataset SSH Precision(DT): , 0.4722222222222222
13 , Training/Validation Dataset SSH Precision(Hybrid): , 0.425531914893617
13 , Training/Validation Dataset SSH Recall(RF): , 1.0
