Destination,Destination Port,Label,ssh,web
209.137.62.222,80,web,,1.0
209.140.51.52,80,web,,7.0
209.143.195.5,80,web,,23.0
209.143.197.52,80,web,,48.0
209.143.199.28,80,web,,6.0
209.143.199.30,80,web,,87.0
209.143.215.163,80,web,,1.0
209.143.225.100,80,web,,47.0
209.143.225.42,80,web,2.0,43.0
209.143.228.181,80,web,,29.0
209.143.228.182,80,web,,3.0
209.143.228.183,80,web,,2.0
209.143.228.194,80,web,,1.0
209.143.228.98,80,web,,5.0
209.143.240.249,80,web,,1.0
209.143.240.6,80,web,,53.0
209.143.252.52,80,web,2.0,
209.150.135.66,80,web,,2.0
209.157.21.40,80,web,,1.0
209.162.76.10,80,web,,1.0
209.167.124.8,80,web,,124.0
209.168.96.38,80,web,,4.0
209.178.49.17,80,web,,3.0
209.185.102.234,80,web,,48.0
209.185.105.73,80,web,,97.0
209.185.123.57,80,web,,27.0
209.185.123.61,80,web,,3.0
209.185.130.253,80,web,,3.0
209.185.151.128,80,web,,8.0
209.185.151.129,80,web,,58.0
209.185.151.131,80,web,,2.0
209.185.151.135,80,web,,7.0
209.185.152.101,80,web,,74.0
209.185.152.102,80,web,,16.0
209.185.174.41,80,web,,9.0
209.185.180.150,80,web,,110.0
209.185.181.180,80,web,,9.0
209.185.191.232,80,web,,26.0
209.185.222.204,80,web,,32.0
209.185.250.103,80,web,,57.0
209.185.69.11,80,web,,28.0
209.186.73.3,80,web,,108.0
209.19.139.168,80,web,,2.0
209.19.139.185,80,web,,2.0
209.191.132.5,80,web,,154.0
209.191.49.2,80,web,,1.0
209.197.81.176,80,web,,10.0
209.21.128.50,80,web,,1.0
209.21.144.129,80,web,,92.0
209.215.117.10,80,web,,18.0
209.22.120.220,80,web,,85.0
209.233.32.186,80,web,,142.0
209.235.8.132,80,web,,4.0
209.24.12.43,80,web,,1.0
209.24.233.22,80,web,,173.0
209.241.234.144,80,web,,82.0
209.3.101.142,80,web,,9.0
209.3.209.165,80,web,,21.0
209.3.209.166,80,web,,1.0
209.38.50.2,80,web,,2.0
209.54.40.200,80,web,,47.0
209.57.111.44,80,web,,3.0
209.61.101.125,80,web,,2.0
